1 1.32461
2 0.908069
3 0.624181
4 0.429614
5 0.296466
6 0.20451
7 0.141643
8 0.0984713
9 0.0685469
10 0.047768
11 0.0334356
12 0.0237715
13 0.0172037
14 0.0120516
15 0.0083587
16 0.00583145
1 1.32627
2 0.90892
3 0.625042
4 0.43033
5 0.296161
6 0.203304
7 0.140028
8 0.0961359
9 0.0661731
10 0.0451273
11 0.0309255
12 0.0216394
13 0.0151265
14 0.0100843
15 0.00609317
16 0.00408514
1 1.32534
2 0.908454
3 0.624762
4 0.430274
5 0.296027
6 0.203387
7 0.140121
8 0.0965446
9 0.0660482
10 0.0453299
11 0.0315871
12 0.0215711
13 0.0149827
14 0.0101683
15 0.00743354
16 0.00547286
1 1.32652
2 0.909968
3 0.626608
4 0.431908
5 0.29755
6 0.204701
7 0.140571
8 0.0965549
9 0.066345
10 0.0455404
11 0.0313642
12 0.0209161
13 0.0132352
14 0.00798057
15 0.00507309
16 0.0030579
1 1.32348
2 0.907733
3 0.6237
4 0.429015
5 0.295916
6 0.203577
7 0.140327
8 0.0964657
9 0.0659397
10 0.0454057
11 0.0313832
12 0.0210115
13 0.0141331
14 0.00894669
15 0.00596968
16 0.00366542
1 1.32262
2 0.906904
3 0.623059
4 0.428646
5 0.295254
6 0.202971
7 0.139056
8 0.0954141
9 0.0657495
10 0.0453129
11 0.0313165
12 0.0212217
13 0.014487
14 0.00979185
15 0.00629888
16 0.0044062
1 1.32583
2 0.908182
3 0.624511
4 0.429484
5 0.296156
6 0.204282
7 0.14087
8 0.0971963
9 0.0674405
10 0.0464619
11 0.0315305
12 0.0218
13 0.0146938
14 0.00983368
15 0.00661155
16 0.00420228
1 1.32573
2 0.910094
3 0.626318
4 0.431357
5 0.297341
6 0.204284
7 0.139708
8 0.0954712
9 0.0655718
10 0.0448886
11 0.0311041
12 0.0212757
13 0.0148495
14 0.0100174
15 0.00677575
16 0.00447566
1 1.32613
2 0.909999
3 0.626625
4 0.431805
5 0.297421
6 0.204897
7 0.141209
8 0.0970903
9 0.0664692
10 0.0454366
11 0.0314676
12 0.0217037
13 0.014118
14 0.00951951
15 0.006329
16 0.00412427
1 1.32526
2 0.90914
3 0.625953
4 0.431412
5 0.297359
6 0.205022
7 0.141169
8 0.0974085
9 0.0671346
10 0.046574
11 0.0324536
12 0.0228041
13 0.0157228
14 0.0105093
15 0.00681783
16 0.00469246
1 1.32473
2 0.909523
3 0.626547
4 0.431572
5 0.297524
6 0.205551
7 0.142348
8 0.0983501
9 0.0681448
10 0.0480702
11 0.0339755
12 0.0237123
13 0.0168011
14 0.011938
15 0.00869325
16 0.00572569
1 1.32465
2 0.908223
3 0.624674
4 0.42993
5 0.295544
6 0.203143
7 0.139661
8 0.0956281
9 0.0655265
10 0.0452344
11 0.0315168
12 0.0216871
13 0.0154923
14 0.0106506
15 0.0072625
16 0.00505647
1 1.32536
2 0.909121
3 0.624998
4 0.430725
5 0.296376
6 0.203882
7 0.14027
8 0.0957755
9 0.06543
10 0.0443995
11 0.0302064
12 0.0200167
13 0.0131418
14 0.00867824
15 0.00578726
16 0.00365408
1 1.32286
2 0.905718
3 0.621749
4 0.427117
5 0.29402
6 0.202288
7 0.139372
8 0.095831
9 0.0663552
10 0.0459788
11 0.0320559
12 0.0225017
13 0.0156551
14 0.010839
15 0.00776499
16 0.00573722
1 1.32554
2 0.909491
3 0.62582
4 0.430214
5 0.295456
6 0.203613
7 0.140103
8 0.0964042
9 0.0660644
10 0.0455341
11 0.0308897
12 0.0208463
13 0.0141985
14 0.0095065
15 0.00640312
16 0.00471344
1 1.32357
2 0.907762
3 0.62421
4 0.429479
5 0.295123
6 0.202681
7 0.139857
8 0.0958526
9 0.0653612
10 0.0444915
11 0.0302758
12 0.0204331
13 0.0134511
14 0.00840224
15 0.00510205
16 0.00281337
1 1.32565
2 0.910411
3 0.626401
4 0.431122
5 0.296685
6 0.204482
7 0.141087
8 0.097844
9 0.0681301
10 0.0470392
11 0.0322249
12 0.0225044
13 0.0155436
14 0.0110551
15 0.00735285
16 0.00488929
1 1.32427
2 0.906763
3 0.622412
4 0.428133
5 0.29378
6 0.201564
7 0.138102
8 0.0948722
9 0.0651811
10 0.044907
11 0.031675
12 0.0222822
13 0.0154809
14 0.0108691
15 0.00740985
16 0.00484338
1 1.3237
2 0.907461
3 0.624157
4 0.429263
5 0.294926
6 0.202569
7 0.139136
8 0.094879
9 0.0651124
10 0.0445402
11 0.0304401
12 0.021087
13 0.014592
14 0.0103117
15 0.00732213
16 0.00506802
1 1.32303
2 0.905883
3 0.622037
4 0.427762
5 0.294107
6 0.202524
7 0.139235
8 0.0962707
9 0.0667873
10 0.046536
11 0.0322229
12 0.0217325
13 0.0142733
14 0.00908903
15 0.00545456
16 0.00305198
1 1.32376
2 0.907384
3 0.623981
4 0.429847
5 0.295633
6 0.202527
7 0.13869
8 0.0953959
9 0.0652131
10 0.0446409
11 0.0311401
12 0.0216465
13 0.0144786
14 0.0101827
15 0.00662674
16 0.00425355
1 1.32393
2 0.907219
3 0.623665
4 0.429441
5 0.296323
6 0.205232
7 0.142466
8 0.0986065
9 0.0680525
10 0.0469715
11 0.0320747
12 0.0215279
13 0.0142402
14 0.00946092
15 0.00628823
16 0.00426525
1 1.32677
2 0.910206
3 0.626565
4 0.431453
5 0.296933
6 0.204064
7 0.1406
8 0.0970271
9 0.0669799
10 0.045804
11 0.0315111
12 0.0220848
13 0.0154359
14 0.0108626
15 0.00764193
16 0.00549692
1 1.32499
2 0.908851
3 0.625501
4 0.43059
5 0.296271
